date,timeofday,condition,rep,SoilTemp,SoilMoisture
2021-07-13,17:40,DARK,FD1,NA,411.99
2021-07-13,17:40,HighLight,RH2,33.75,31.56
2021-07-13,17:40,HighLight,RH5,NA,144.06
2021-07-13,17:40,HighLight,FH5,33.5,4.05
2021-07-13,17:40,HighLight,FH2,33.25,0.62
2021-07-13,17:40,HighLight,FH4,NA,6.2
2021-07-13,17:40,HighLight,MH1,33.06,188.9
2021-07-13,17:40,HighLight,RH10,33.0,0.4
2021-07-13,17:40,HighLight,MH5,33.0,124.17
2021-07-13,17:40,HighLight,MH6,NA,68.65
2021-07-13,17:41,DARK,FD2,33.31,634.28
2021-07-13,17:41,DARK,FD6,NA,553.87
2021-07-13,17:41,DARK,RD6,NA,573.83
2021-07-13,17:41,DARK,MD1,33.44,476.25
2021-07-13,17:41,DARK,RD3,33.5,642.08
2021-07-13,17:41,DARK,RD10,NA,594.93
2021-07-13,17:41,DARK,MD6,34.0,427.91
2021-07-13,17:41,DARK,MD5,NA,549.55
